tier	slug	slot	target_path	url
itch	shadowdark	g2	images/systems/shadowdark-g2.png	https://img.itch.zone/aW1nLzE1MDUyMDQwLnBuZw==/original/j6pJeS.png
itch	starforged	g0	images/systems/starforged-g0.jpg	https://img.itch.zone/aW1nLzg1MjM5MjQuanBn/original/3NcS3p.jpg
itch	the-wretched	hero	images/systems/the-wretched-hero.png	https://img.itch.zone/aW1nLzMyNjgzOTMucG5n/original/kYEj5R.png
itch	the-wretched	g0	images/systems/the-wretched-g0.png	https://img.itch.zone/aW1hZ2UvNjE0MjgzLzMyNjgzODkucG5n/347x500/1hYOtq.png
itch	the-wretched	g1	images/systems/the-wretched-g1.jpg	https://img.itch.zone/aW1hZ2UvNjE0MjgzLzQzMTYyMzEuanBn/347x500/p6tHSn.jpg
itch	the-wretched	g2	images/systems/the-wretched-g2.jpg	https://img.itch.zone/aW1hZ2UvNjE0MjgzLzQzMTYyMzIuanBn/347x500/sjWRTo.jpg
itch	thousand-year-old-vampire	hero	images/systems/thousand-year-old-vampire-hero.png	https://img.itch.zone/aW1nLzIwMjQ5MjAxLnBuZw==/original/6JceU8.png
itch	thousand-year-old-vampire	g0	images/systems/thousand-year-old-vampire-g0.png	https://img.itch.zone/aW1hZ2UvNTgyMDAwLzMwNjY0NDcucG5n/347x500/UYjcQP.png
itch	thousand-year-old-vampire	g1	images/systems/thousand-year-old-vampire-g1.png	https://img.itch.zone/aW1hZ2UvNTgyMDAwLzMwNjY0NDMucG5n/347x500/ply7sR.png
itch	thousand-year-old-vampire	g2	images/systems/thousand-year-old-vampire-g2.png	https://img.itch.zone/aW1hZ2UvNTgyMDAwLzMwNjY0NDQucG5n/347x500/ecqbKs.png
itch	triangle	hero	images/systems/triangle-hero.jpg	https://img.itch.zone/aW1nLzE2NTI3MDUyLmpwZw==/original/FIDchU.jpg
itch	triangle	g0	images/systems/triangle-g0.jpg	https://img.itch.zone/aW1nLzIzMTIyMTYzLmpwZw==/original/638fvX.jpg
itch	triangle	g1	images/systems/triangle-g1.png	https://img.itch.zone/aW1nLzIzMTIyMTQzLnBuZw==/original/yIrTaf.png
itch	triangle	g2	images/systems/triangle-g2.png	https://img.itch.zone/aW1nLzIzMTIxOTQ5LnBuZw==/original/%2F%2B9FZ8.png
itch	troika	hero	images/systems/troika-hero.png	https://img.itch.zone/aW1nLzMyMjg4MDkucG5n/original/hYv6Fw.png
itch	troika	g0	images/systems/troika-g0.jpg	https://img.itch.zone/aW1hZ2UvMzkyODUxLzE5NDYwMDAuanBn/original/Wjwgpm.jpg
itch	troika	g1	images/systems/troika-g1.jpg	https://img.itch.zone/aW1hZ2UvMzkyODUxLzE5NDU5OTEuanBn/original/bcfBWl.jpg
itch	troika	g2	images/systems/troika-g2.jpg	https://img.itch.zone/aW1hZ2UvMzkyODUxLzE5NDU5OTMuanBn/original/8w8VYj.jpg
HIGH	uvg	hero	images/systems/uvg-hero.jpeg	https://substackcdn.com/image/fetch/f_auto,q_auto:good,fl_progressive:steep/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fcbd0f960-e54b-438b-a2a2-4021279bba97_1600x900.jpeg
HIGH	uvg	g1	images/systems/uvg-g1.jpg	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4u2A8fuE6SMEBsYZMJjVNW2EJ8oBkqz0RSQ&s
HIGH	uvg	g2	images/systems/uvg-g2.jpg	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzWazJyHA_IvXOKETmI7XSv--JCCXiGhudOw&s
itch	wildsea	hero	images/systems/wildsea-hero.jpg	https://img.itch.zone/aW1nLzgwNTI1NzYuanBn/original/jf%2BYt%2B.jpg
itch	wildsea	g0	images/systems/wildsea-g0.png	https://img.itch.zone/aW1hZ2UvMTMyNjI2My84MDUxMjgyLnBuZw==/original/tY0wGS.png
itch	wildsea	g1	images/systems/wildsea-g1.png	https://img.itch.zone/aW1hZ2UvMTMyNjI2My84MDUxMjgzLnBuZw==/original/Zti8Xd.png
itch	wildsea	g2	images/systems/wildsea-g2.png	https://img.itch.zone/aW1hZ2UvMTMyNjI2My84MDUxMjg0LnBuZw==/original/jzpDEX.png
itch	wildsea	g3	images/systems/wildsea-g3.png	https://img.itch.zone/aW1hZ2UvMTMyNjI2My84MDUxMjg1LnBuZw==/original/FulxaS.png
itch	wildsea	g4	images/systems/wildsea-g4.png	https://img.itch.zone/aW1hZ2UvMTMyNjI2My84MDUyMjYwLnBuZw==/original/4WEEWR.png
